province,total_disasters,total_death,total_injured,total_missing,total_damaged_house,total_flooded_house,total_damaged_facility,BANJIR,CUACA EKSTREM,ERUPSI GUNUNG API,GELOMBANG PASANG / ABRASI,GELOMBANG PASANG DAN ABRASI,GEMPA BUMI,GEMPA BUMI DAN TSUNAMI,KEBAKARAN HUTAN DAN LAHAN,KEKERINGAN,PUTING BELIUNG,TANAH LONGSOR,TSUNAMI,cluster,PCA1,PCA2
KALIMANTAN UTARA,269,31.35878201165986,78.98713856414705,2.438081935406183,289.0,41450.52281994493,102,65,14,0,2,0,0,0,114,0,1,73,0,0,-1.6941788543041356,-0.4199042034338162
KEPULAUAN BANGKA BELITUNG,382,56.3071787797981,115.70596626824828,1.711486955302281,1639.0,17775.904205149043,48,62,66,0,1,0,0,0,215,4,25,9,0,0,-1.4874512089178418,-0.5972589217051238
KEPULAUAN RIAU,340,65.41298788719632,67.77186613264998,10.952677543178794,686.0,10396.43730757217,29,39,46,0,6,0,0,0,229,1,7,12,0,0,-1.5348546039960684,-0.3212789228218535
LAMPUNG,378,222.38461892583888,4411.348448117236,19.01887194383704,11136.0,46403.815718288,105,148,103,2,3,0,2,0,56,5,27,27,5,0,-0.9771814977458496,-0.14726625983637223
MALUKU,242,133.54261640900748,2140.0380400325207,3.8366792003500767,14831.0,17681.918372834472,960,98,39,0,14,0,24,0,21,4,4,38,0,0,-0.5462053325244143,0.3668703381143158
MALUKU UTARA,197,94.23971425034291,769.4397520953257,4.548020458975755,5679.0,27696.673798360145,466,129,22,2,10,0,15,0,2,0,8,9,0,0,-1.0655706162902034,0.07130140069454434
NUSA TENGGARA BARAT,574,681.0298951915103,2415.099932413047,7.074654456284444,234980.0,108708.97039923412,1722,292,139,0,8,0,22,0,9,36,18,50,0,0,1.5517003953015063,1.3831989433308276
NUSA TENGGARA TIMUR,538,315.9567138873146,1020.298208908854,55.10007966159783,62707.0,76004.73387890987,5017,154,202,3,18,0,10,0,20,45,8,78,0,0,1.3936043541696883,1.3018984126816522
P A P U A,16,12.285206496071089,107.71670177548086,0.3737413533280185,509.0,1721.679802955665,91,8,0,0,3,1,2,0,0,0,0,2,0,0,-2.264650113358078,-0.3525561632736433
PAPUA,77,155.68325712438224,1470.4861374368509,89.12002481273382,4072.0,14863.78847631242,318,52,5,0,8,0,7,0,0,0,1,4,0,0,-1.3980993855898678,0.512192917840349
PAPUA BARAT,72,21.97206255191078,69.7360124352372,1.6555108347312075,801.0,18129.36002922977,36,54,3,0,1,1,1,0,7,0,1,4,0,0,-2.235819213481606,-0.4544617574770806
PAPUA BARAT DAYA,6,1.2880698351115418,8.61647615293654,0.2722034571825948,12.0,4214.723559539052,0,6,0,0,0,0,0,0,0,0,0,0,0,0,-2.1309386549978075,-0.33777709742438894
PAPUA PEGUNUNGAN,4,3.2576139670223085,27.0,0.0754351665746405,1177.0,727.7235595390525,3,1,0,0,0,0,0,0,0,0,0,3,0,0,-2.132682683926786,-0.32821835631287427
PAPUA SELATAN,5,0.5152279340446168,3.446590461174616,0.1088813828730379,849.0,1421.7235595390523,3,4,0,0,0,1,0,0,0,0,0,0,0,0,-2.417255965764327,-0.4760065343517594
PAPUA TENGAH,3,13.0,3.0,0.0,0.0,1455.447119078105,0,2,0,0,0,0,0,0,0,1,0,0,0,0,-2.1264762556290138,-0.33323417295522517
RIAU,721,64.45331380031855,371.3830828156041,7.759264936950453,18328.0,198526.4694640682,543,273,50,0,12,0,1,0,346,0,11,28,0,0,-0.40101773472602376,-0.2836585295247604
SULAWESI BARAT,191,155.97958962690194,11373.078530320008,11.220116075237684,17955.0,35694.99558820155,549,89,40,0,8,0,13,1,7,1,3,29,0,0,-0.35043785081839984,1.2849737665986747
SULAWESI SELATAN,1182,382.16606929211457,983.8362533800538,28.74443725953661,23319.0,286093.24773912865,1561,358,498,0,16,0,4,0,56,19,71,160,0,0,1.2876800331679776,0.057839643661403074
SULAWESI TENGAH,525,4260.5180539509975,5323.509723363175,723.7907545871807,113903.0,63155.76576132474,2563,384,65,0,22,0,11,4,14,2,6,17,0,1,2.94727973937393,10.430521043940601
SULAWESI TENGGARA,187,42.454373788566194,182.59473701086216,2.675677011408001,7691.0,27040.728339037,254,99,43,0,10,0,1,0,5,4,5,20,0,0,-1.4085182682701594,0.0277098790053759
SULAWESI UTARA,192,97.30962408470886,442.5915952518649,6.367095312213415,11898.0,56323.56484981548,109,101,34,6,12,0,5,0,5,3,0,26,0,0,-1.1859031434547949,0.06974008629613716
SUMATERA BARAT,921,377.4281770008096,7187.400465413223,36.124717577524166,18751.0,148937.4511586655,1552,358,318,3,10,0,16,0,56,4,34,122,0,0,0.976896954399823,0.30950149965082996
SUMATERA SELATAN,587,87.94382113661572,262.4506444335275,8.622585373994282,5834.0,134781.27721615738,188,254,103,0,1,0,0,0,158,3,26,42,0,0,-0.9547079053988077,-0.6097644025479645
SUMATERA UTARA,848,273.4626668712335,1242.3156377726582,52.20825668111316,9890.0,453694.1037185388,532,418,209,19,2,0,8,0,85,1,28,78,0,0,0.4374801901266624,-0.6730055593465912
